regime,trades,expectancy_points,win_rate,total_pnl,expectancy_reais
range,348,-0.9483333333333346,0.367816091954023,-330.02000000000044,-9.783333333333346
transition,110,-1.3360000000000252,0.21818181818181817,-146.96000000000276,-13.660000000000252
trend,645,-1.3635038759689881,0.3209302325581395,-879.4599999999973,-13.935038759689881
