vol_regime,trend_regime,session_regime,event_type,event_direction,horizon,n,hit_rate,expectancy,exp_brl,sharpe,max_dd,pf,p_binom,p_binom_fdr,fdr_significant
LOW,TREND_UP,OPENING,NONE,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,OPENING,NONE,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,INITIATION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,ABSORPTION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BULLISH,20,0,,,,,,,,,False
