entry_time,exit_time,pnl_points,pnl_reais,side
2026-03-04 12:10:00,2026-03-04 12:11:00,1.0299999999997453,9.999999999997453,long
2026-03-04 12:27:00,2026-03-04 12:28:00,-1.0,-10.3,long
2026-03-04 12:40:00,2026-03-04 12:42:00,0.010000000000218279,-0.1999999999978172,short
2026-03-04 12:58:00,2026-03-04 13:00:00,-1.0,-10.3,long
2026-03-04 13:14:00,2026-03-04 13:15:00,-3.5399999999999636,-35.69999999999963,short
2026-03-04 13:16:00,2026-03-04 13:17:00,-2.0100000000002183,-20.400000000002183,short
2026-03-04 13:23:00,2026-03-04 13:24:00,1.0300000000006548,10.000000000006548,short
2026-03-04 13:47:00,2026-03-04 13:48:00,-3.0200000000004366,-30.500000000004366,long
2026-03-04 14:07:00,2026-03-04 14:08:00,-3.0200000000004366,-30.500000000004366,short
2026-03-04 14:09:00,2026-03-04 14:10:00,-2.009999999999309,-20.39999999999309,short
2026-03-04 14:30:00,2026-03-04 14:34:00,-0.4900000000006912,-5.200000000006912,short
2026-03-04 14:49:00,2026-03-04 14:51:00,1.5299999999997453,14.999999999997453,long
2026-03-04 15:06:00,2026-03-04 15:08:00,1.5399999999999636,15.099999999999635,short
2026-03-04 15:32:00,2026-03-04 15:34:00,1.019999999999527,9.89999999999527,long
2026-03-04 16:05:00,2026-03-04 16:07:00,-0.4899999999997817,-5.199999999997817,short
2026-03-04 16:41:00,2026-03-04 16:44:00,0.009999999999308784,-0.20000000000691215,long
2026-03-04 17:07:00,2026-03-04 17:08:00,-1.0,-10.3,short
2026-03-04 17:22:00,2026-03-04 17:23:00,-0.5,-5.3,short
2026-03-04 17:28:00,2026-03-04 17:29:00,0.010000000000218279,-0.1999999999978172,short
2026-03-04 17:43:00,2026-03-04 17:44:00,-0.4899999999997817,-5.199999999997817,short
2026-03-04 17:53:00,2026-03-04 17:54:00,-1.0,-10.3,short
2026-03-04 17:59:00,2026-03-04 18:00:00,-2.0100000000002183,-20.400000000002183,short
2026-03-05 09:01:00,2026-03-05 09:03:00,-6.5700000000006185,-66.00000000000618,short
2026-03-05 09:53:00,2026-03-05 09:54:00,3.5600000000004,35.300000000004005,short
2026-03-05 10:01:00,2026-03-05 10:02:00,-1.5100000000002183,-15.400000000002183,long
2026-03-05 10:12:00,2026-03-05 10:13:00,0.010000000000218279,-0.1999999999978172,long
2026-03-05 10:41:00,2026-03-05 10:43:00,0.5199999999995271,4.899999999995271,short
2026-03-05 11:22:00,2026-03-05 11:27:00,-11.640000000000327,-116.70000000000327,short
2026-03-05 11:52:00,2026-03-05 11:53:00,-4.039999999999964,-40.69999999999963,long
2026-03-05 11:54:00,2026-03-05 11:55:00,2.0399999999999636,20.099999999999635,long
2026-03-05 12:18:00,2026-03-05 12:19:00,-2.519999999999527,-25.49999999999527,short
2026-03-05 12:22:00,2026-03-05 12:23:00,0.5199999999995271,4.899999999995271,short
2026-03-05 12:50:00,2026-03-05 12:51:00,-2.0100000000002183,-20.400000000002183,short
2026-03-05 13:05:00,2026-03-05 13:11:00,-9.609999999999673,-96.39999999999672,short
2026-03-05 13:38:00,2026-03-05 13:39:00,0.009999999999308784,-0.20000000000691215,long
2026-03-05 13:57:00,2026-03-05 13:58:00,-0.4899999999997817,-5.199999999997817,long
2026-03-05 14:00:00,2026-03-05 14:01:00,-1.5100000000002183,-15.400000000002183,long
2026-03-05 14:03:00,2026-03-05 14:04:00,-3.030000000000655,-30.60000000000655,long
2026-03-05 14:30:00,2026-03-05 14:31:00,-3.0299999999997453,-30.599999999997454,short
2026-03-05 14:32:00,2026-03-05 14:33:00,-2.5200000000004366,-25.500000000004366,short
2026-03-05 14:35:00,2026-03-05 14:37:00,20.779999999999745,207.49999999999744,short
2026-03-05 14:57:00,2026-03-05 14:58:00,-1.0,-10.3,short
2026-03-05 15:12:00,2026-03-05 15:14:00,-3.5399999999999636,-35.69999999999963,short
2026-03-05 15:15:00,2026-03-05 15:16:00,-0.4899999999997817,-5.199999999997817,short
2026-03-05 15:39:00,2026-03-05 15:40:00,-3.0299999999997453,-30.599999999997454,long
2026-03-05 15:52:00,2026-03-05 15:53:00,-0.5,-5.3,short
2026-03-05 16:22:00,2026-03-05 16:23:00,-2.0100000000002183,-20.400000000002183,long
2026-03-05 16:24:00,2026-03-05 16:25:00,2.0399999999999636,20.099999999999635,long
2026-03-05 16:35:00,2026-03-05 16:38:00,2.550000000000182,25.20000000000182,short
2026-03-05 17:05:00,2026-03-05 17:06:00,1.0200000000004366,9.900000000004365,long
2026-03-05 17:09:00,2026-03-05 17:13:00,-6.569999999999709,-65.99999999999709,long
2026-03-05 17:14:00,2026-03-05 17:15:00,-1.0,-10.3,long
2026-03-05 17:35:00,2026-03-05 17:36:00,-1.5100000000002183,-15.400000000002183,long
2026-03-05 17:55:00,2026-03-05 17:56:00,-0.5,-5.3,long
2026-03-05 18:09:00,2026-03-05 18:10:00,-1.0,-10.3,short
2026-03-06 09:01:00,2026-03-06 09:04:00,-7.079999999999927,-71.09999999999927,short
2026-03-06 09:53:00,2026-03-06 09:54:00,-1.5100000000002183,-15.400000000002183,short
2026-03-06 10:07:00,2026-03-06 10:09:00,-5.050000000000182,-50.800000000001816,long
2026-03-06 10:10:00,2026-03-06 10:11:00,-3.5299999999997453,-35.59999999999745,long
2026-03-06 10:49:00,2026-03-06 10:50:00,-12.649999999999636,-126.79999999999636,short
2026-03-06 10:51:00,2026-03-06 10:53:00,-3.5299999999997453,-35.59999999999745,short
2026-03-06 10:54:00,2026-03-06 10:55:00,-2.519999999999527,-25.49999999999527,short
2026-03-06 11:11:00,2026-03-06 11:12:00,3.5600000000004,35.300000000004005,short
2026-03-06 11:29:00,2026-03-06 11:30:00,0.5199999999995271,4.899999999995271,long
2026-03-06 11:32:00,2026-03-06 11:34:00,-4.550000000000182,-45.800000000001816,long
2026-03-06 11:35:00,2026-03-06 11:36:00,-1.5100000000002183,-15.400000000002183,long
2026-03-06 12:14:00,2026-03-06 12:15:00,0.5200000000004366,4.900000000004366,long
2026-03-06 12:33:00,2026-03-06 12:34:00,0.019999999999527063,-0.10000000000472936,long
2026-03-06 12:51:00,2026-03-06 12:53:00,4.569999999999709,45.39999999999709,short
2026-03-06 13:05:00,2026-03-06 13:06:00,0.010000000000218279,-0.1999999999978172,long
2026-03-06 13:38:00,2026-03-06 13:39:00,-0.5,-5.3,long
2026-03-06 13:44:00,2026-03-06 13:45:00,-4.550000000000182,-45.800000000001816,long
2026-03-06 13:46:00,2026-03-06 13:47:00,3.050000000000182,30.20000000000182,long
2026-03-06 14:23:00,2026-03-06 14:24:00,1.0200000000004366,9.900000000004365,long
2026-03-06 14:42:00,2026-03-06 14:44:00,2.0399999999999636,20.099999999999635,short
2026-03-06 15:14:00,2026-03-06 15:15:00,-5.050000000000182,-50.800000000001816,long
2026-03-06 15:16:00,2026-03-06 15:17:00,-1.0,-10.3,long
2026-03-06 15:32:00,2026-03-06 15:34:00,0.5100000000002183,4.800000000002183,long
2026-03-06 15:44:00,2026-03-06 15:45:00,-3.019999999999527,-30.49999999999527,long
2026-03-06 15:52:00,2026-03-06 15:53:00,-1.5100000000002183,-15.400000000002183,short
2026-03-06 16:25:00,2026-03-06 16:31:00,-10.11999999999989,-101.4999999999989,long
2026-03-06 17:00:00,2026-03-06 17:01:00,-4.039999999999964,-40.69999999999963,long
2026-03-06 17:02:00,2026-03-06 17:04:00,0.010000000000218279,-0.1999999999978172,long
2026-03-06 17:08:00,2026-03-06 17:09:00,1.5299999999997453,14.999999999997453,long
2026-03-06 17:28:00,2026-03-06 17:29:00,-3.030000000000655,-30.60000000000655,short
2026-03-06 17:30:00,2026-03-06 17:31:00,-1.0,-10.3,short
2026-03-06 17:33:00,2026-03-06 17:34:00,-2.009999999999309,-20.39999999999309,short
2026-03-06 17:42:00,2026-03-06 17:43:00,0.010000000000218279,-0.1999999999978172,long
2026-03-06 17:46:00,2026-03-06 17:47:00,-6.5700000000006185,-66.00000000000618,long
2026-03-06 17:48:00,2026-03-06 17:50:00,-2.519999999999527,-25.49999999999527,long
2026-03-06 18:07:00,2026-03-06 18:08:00,-1.0,-10.3,short
2026-03-06 18:16:00,2026-03-06 18:21:00,-4.029999999999745,-40.59999999999745,short
2026-03-09 09:01:00,2026-03-09 09:03:00,-1.0,-10.3,short
2026-03-09 09:30:00,2026-03-09 09:32:00,3.050000000000182,30.20000000000182,long
2026-03-09 09:59:00,2026-03-09 10:04:00,-10.61999999999989,-106.4999999999989,long
2026-03-09 10:31:00,2026-03-09 10:32:00,-3.5299999999997453,-35.59999999999745,long
2026-03-09 11:03:00,2026-03-09 11:04:00,-4.539999999999964,-45.69999999999963,long
2026-03-09 11:05:00,2026-03-09 11:06:00,2.5399999999999636,25.099999999999635,long
2026-03-09 11:12:00,2026-03-09 11:14:00,4.569999999999709,45.39999999999709,short
2026-03-09 11:53:00,2026-03-09 11:54:00,-3.0299999999997453,-30.599999999997454,long
2026-03-09 12:18:00,2026-03-09 12:20:00,2.0399999999999636,20.099999999999635,short
2026-03-09 12:35:00,2026-03-09 12:39:00,-2.5200000000004366,-25.500000000004366,short
2026-03-09 12:55:00,2026-03-09 12:57:00,-2.5200000000004366,-25.500000000004366,long
2026-03-09 12:58:00,2026-03-09 12:59:00,-3.0299999999997453,-30.599999999997454,long
2026-03-09 13:00:00,2026-03-09 13:01:00,-2.5200000000004366,-25.500000000004366,long
2026-03-09 13:03:00,2026-03-09 13:05:00,2.5399999999999636,25.099999999999635,long
2026-03-09 13:21:00,2026-03-09 13:23:00,4.569999999999709,45.39999999999709,short
2026-03-09 13:59:00,2026-03-09 14:00:00,-1.0,-10.3,short
2026-03-09 14:03:00,2026-03-09 14:04:00,-1.5100000000002183,-15.400000000002183,short
2026-03-09 14:19:00,2026-03-09 14:23:00,-3.019999999999527,-30.49999999999527,short
2026-03-09 14:47:00,2026-03-09 14:51:00,0.5200000000004366,4.900000000004366,long
2026-03-09 15:03:00,2026-03-09 15:04:00,-2.009999999999309,-20.39999999999309,long
2026-03-09 15:05:00,2026-03-09 15:07:00,1.5299999999997453,14.999999999997453,long
2026-03-09 15:24:00,2026-03-09 15:26:00,0.010000000000218279,-0.1999999999978172,long
2026-03-09 15:58:00,2026-03-09 16:00:00,1.5299999999997453,14.999999999997453,short
2026-03-09 17:07:00,2026-03-09 17:08:00,-0.4899999999997817,-5.199999999997817,short
2026-03-09 17:10:00,2026-03-09 17:11:00,3.0499999999992724,30.199999999992723,short
2026-03-09 17:24:00,2026-03-09 17:25:00,0.5200000000004366,4.900000000004366,long
2026-03-09 18:26:00,2026-03-10 09:00:00,13.6899999999996,136.599999999996,short
2026-03-10 09:01:00,2026-03-10 09:02:00,4.569999999999709,45.39999999999709,long
2026-03-10 09:29:00,2026-03-10 09:33:00,3.5599999999994907,35.29999999999491,short
2026-03-10 10:07:00,2026-03-10 10:09:00,-1.0,-10.3,short
2026-03-10 10:34:00,2026-03-10 10:35:00,-4.550000000000182,-45.800000000001816,short
2026-03-10 10:50:00,2026-03-10 10:51:00,2.0399999999999636,20.099999999999635,long
2026-03-10 11:08:00,2026-03-10 11:11:00,-3.030000000000655,-30.60000000000655,short
2026-03-10 11:12:00,2026-03-10 11:13:00,-0.4899999999997817,-5.199999999997817,short
2026-03-10 11:20:00,2026-03-10 11:22:00,-1.0,-10.3,long
