entry_time,exit_time,regime,pnl_points,pnl_reais,side
2026-03-04 11:21:00,2026-03-04 11:22:00,transition,0.5199999999995271,4.899999999995271,long
2026-03-04 11:26:00,2026-03-04 11:39:00,trend,-3.030000000000655,-30.60000000000655,short
2026-03-04 11:39:00,2026-03-04 11:45:00,trend,6.599999999999454,65.69999999999455,long
2026-03-04 11:59:00,2026-03-04 12:00:00,range,0.010000000000218279,-0.19999999999781726,long
2026-03-04 12:06:00,2026-03-04 12:07:00,range,4.0700000000006185,40.40000000000619,short
2026-03-04 12:08:00,2026-03-04 12:12:00,range,0.009999999999308784,-0.2000000000069122,long
2026-03-04 12:21:00,2026-03-04 12:23:00,range,0.019999999999527063,-0.10000000000472942,long
2026-03-04 12:25:00,2026-03-04 12:31:00,range,-4.539999999999964,-45.69999999999963,long
2026-03-04 12:40:00,2026-03-04 12:43:00,range,-0.4899999999997817,-5.199999999997817,short
2026-03-04 12:47:00,2026-03-04 12:52:00,trend,-9.100000000000364,-91.30000000000364,long
2026-03-04 13:00:00,2026-03-04 13:09:00,trend,-6.069999999999709,-60.99999999999709,short
2026-03-04 13:16:00,2026-03-04 13:38:00,trend,3.050000000000182,30.20000000000182,long
2026-03-04 13:38:00,2026-03-04 13:50:00,trend,2.550000000000182,25.20000000000182,short
2026-03-04 14:07:00,2026-03-04 14:08:00,range,-3.0200000000004366,-30.500000000004366,short
2026-03-04 14:09:00,2026-03-04 14:10:00,transition,-2.009999999999309,-20.39999999999309,short
2026-03-04 14:13:00,2026-03-04 14:49:00,trend,-0.4899999999997817,-5.199999999997817,long
2026-03-04 14:49:00,2026-03-04 14:54:00,trend,-3.0299999999997453,-30.599999999997454,short
2026-03-04 15:07:00,2026-03-04 15:08:00,range,-1.0,-10.3,short
2026-03-04 15:32:00,2026-03-04 15:34:00,range,1.019999999999527,9.89999999999527,long
2026-03-04 15:38:00,2026-03-04 15:39:00,range,-0.4899999999997817,-5.199999999997817,long
2026-03-04 15:49:00,2026-03-04 15:57:00,trend,-3.5299999999997453,-35.59999999999745,short
2026-03-04 16:09:00,2026-03-04 16:23:00,trend,-2.009999999999309,-20.39999999999309,long
2026-03-04 16:23:00,2026-03-04 16:24:00,transition,-0.4899999999997817,-5.199999999997817,short
2026-03-04 16:42:00,2026-03-04 16:43:00,transition,-0.4899999999997817,-5.199999999997817,long
2026-03-04 17:07:00,2026-03-04 17:36:00,trend,0.5200000000004366,4.900000000004366,long
2026-03-04 17:53:00,2026-03-04 18:13:00,trend,0.010000000000218279,-0.19999999999781726,long
2026-03-04 18:13:00,2026-03-04 18:17:00,trend,-1.5099999999993088,-15.399999999993089,short
2026-03-04 18:17:00,2026-03-04 18:21:00,trend,-1.0,-10.3,long
2026-03-04 18:21:00,2026-03-04 18:23:00,trend,-2.5100000000002183,-25.400000000002183,short
2026-03-04 18:23:00,2026-03-05 09:02:00,trend,20.280000000000655,202.50000000000654,long
2026-03-05 09:22:00,2026-03-05 09:37:00,trend,-6.5700000000006185,-66.00000000000618,short
2026-03-05 09:37:00,2026-03-05 09:41:00,trend,-0.5,-5.3,long
2026-03-05 10:01:00,2026-03-05 10:02:00,range,-1.5100000000002183,-15.400000000002183,long
2026-03-05 10:12:00,2026-03-05 10:14:00,range,-2.519999999999527,-25.49999999999527,long
2026-03-05 10:15:00,2026-03-05 10:17:00,range,-0.4899999999997817,-5.199999999997817,long
2026-03-05 10:34:00,2026-03-05 10:35:00,transition,-2.019999999999527,-20.49999999999527,long
2026-03-05 10:42:00,2026-03-05 10:51:00,trend,-10.109999999999673,-101.39999999999672,long
2026-03-05 10:54:00,2026-03-05 10:56:00,trend,-2.019999999999527,-20.49999999999527,short
